word,showCount,translation
extend,5,"v. 扩充, 延伸, 伸展, 扩大
[计] 扩展"
diverse,5,"a. 不同的, 变化多的"
immune,5,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
rail,5,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
abandon,5,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
harsh,5,"a. 粗糙的, 刺耳的, 严厉的
[法] 粗糙的, 严厉的, 苛刻的"
fascinating,5,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
budget,5,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
persistent,5,"a. 固执的, 坚持的, 持续的, 作用持久的
[法] 坚持的, 固执的, 持续的"
subtle,5,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
[医] 锐敏的; 精细的"
motivation,5,"n. 动机, 刺激, 推动
[医] 促动, 推动, 诱导"
anthropologist,5,n. 人类学家
code,5,"n. 代码, 密码, 法规, 法典
vt. 把...编码
[计] 代码"
hospitality,5,"n. 款待, 亲切, 殷勤"
soil,5,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
emergence,5,"n. 出现, 浮现, 发生"
moderate,5,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
depressed,5,"a. 沮丧的, 降低的
[医] 抑郁的, 阻抑的, 压低的, 凹[陷]的, 扁平的"
reverse,5,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
[计] 反转"
graduated,5,"a. 毕业了的, 分等级的, 分度的, 刻度的
[医] 有刻度的"
appreciate,5,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
lengthy,5,"a. 冗长的, 漫长的"
rigid,5,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
absorb,5,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
considerable,5,"a. 相当的, 可观的, 重要的"
reminder,5,"n. 提醒的人, 暗示
[经] 催单"
drastic,5,"a. 激烈的
[医] 峻泻药, 剧烈的"
vital,5,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
[医] 生命的, 生活的, 生活上必需的, 紧要的"
ultimate,5,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
district,5,"n. 区域, 地方
[医] 地区, 地段"
confront,5,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
[法] 对证, 使对质, 比较"
conflict,5,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
[计] 冲突"
casual,5,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
commit,5,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
[法] 犯, 做, 把...交托给"
overwhelming,5,"a. 压倒性的, 无法抵抗的"
charitable,5,"a. 大慈大悲的, 宽厚的, 慈善的
[法] 慈善的, 慷慨的, 宽恕的"
host,5,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
[计] 主机, 宿主机"
employ,5,"n. 雇用
vt. 雇用, 使用, 使从事于"
anticipate,5,"vt. 预期, 占先, 加速, 提前使用
[医] 提前出现, 先期发生"
monetary,5,"a. 货币的, 金钱的
[经] 货币的, 金融的"
concentrate,5,"n. 浓缩, 精选
v. 集中, 专心"
assemble,5,"vt. 集合, 收集, 装配
vi. 集合
[计] 汇编"
acknowledge,4,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
initial,4,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
abstract,4,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象"
prejudice,4,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
rage,4,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
foster,4,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
contempt,4,"n. 轻视, 轻蔑
[法] 藐视, 侮辱, 轻视"
premium,4,"n. 额外补贴, 奖金, 奖赏, 保险费
[医] 保险费"
spatial,4,"a. 空间的, 受空间条件限制的, 占地位的
[医] 隙的, 间隙的, 腔的; 空间的, 立体的"
suspicious,4,"a. 可疑的, 多疑的, 怀疑的
[法] 怀疑的, 令人怀疑的, 可疑的"
parallel,4,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
[计] 并联; 并行"
accelerate,4,"v. 加速, 促进"
recall,4,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
[计] 检索"
evaluation,4,"n. 评估, 估价, 求值
[计] 鉴定; 评价; 求值"
sustained,4,"a. 持续的, 持久不变的, 持久的, 不懈的
[计] 持续的"
prone,4,"a. 俯伏的, 面向下的, 有...倾向的
[医] 旋前的, 伏的, 俯的"
attach,4,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
[计] 挂接服务器命令, 关联, 挂接, 附加"
transfer,4,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
[计] 传送"
epidemic,4,"n. 传染病, 流行病
a. 流行的, 传染性的"
mobile,4,"a. 移动的, 易变的, 机动的
n. 活动物体"
contain,4,"vt. 包含, 容纳, 控制
vi. 自制"
hostile,4,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
monopoly,4,"n. 垄断, 专卖权, 独占事业
[经] 垄断, 专利品, 垄断(权)独占"
excess,4,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
vivid,4,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
expand,4,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
[计] 展开; DOS外部命令:将原始DOS磁盘上的压缩文件解压缩并拷贝到硬盘上"
juvenile,4,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
communicate,4,"vt. 显露, 传达, 感染
vi. 通讯"
intuitive,4,a. 直觉的
brand,4,"n. 商标, 牌子, 烙印
vt. 打烙印于"
tag,4,"n. 标签, 附属物, 碎片, 结束语, 口头禅, 附加语, 浑名, 标记, 标记符
vt. 附以签条, 尾随, 添饰, 起浑名, 连接
vi. 紧紧跟随
[计] 标记"
thrive,4,"vi. 繁荣, 兴旺, 茁壮成长
[经] 兴旺, 繁荣, 旺盛"
capture,4,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
[计] 截获命令"
rewarding,4,"a. 有益的, 有报酬的, 报答的"
controversy,4,"n. 论争, 辩论, 论战, 争论
[法] 论战, 争论, 争吵"
sociable,4,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
alert,4,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
interference,4,"n. 冲突, 干涉
[计] 干扰"
pursue,4,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
pervasive,4,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
thesis,4,"n. 论题, 论文"
fantastic,4,"a. 奇妙的, 稀奇的, 空想的"
indispensable,4,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
remove,4,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
[计] 删除"
complementary,4,"a. 补充的, 补足的
[经] 补足的, 补充的"
prolonged,4,"a. 延续的, 长时间的"
guilty,4,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
[法] 有罪的, 犯罪的, 自觉有罪的"
enhance,4,"vt. 提高, 加强, 增加"
nutrition,4,"n. 营养, 营养学
[医] 营养, 营养品"
lure,4,"n. 饵, 诱惑
vt. 引诱, 诱惑"
adequate,4,"a. 适当的, 足够的
[法] 胜任的, 适当的, 充分的"
demonstrate,4,"vt. 示范, 证明
vi. 示威"
request,4,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
[计] 请求"
operative,4,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
cartoon,4,"n. 卡通画, 漫画
v. 画漫画"
contact,4,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
factual,4,"a. 事实的, 实际的
[法] 事实的, 与事实有关的, 实际的"
liable,4,"a. 有义务的, 应负责的, 有...倾向的
[法] 有责任的, 可受处理的, 应受罚的"
persistence,4,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
[电] 持久"
fatal,4,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
[医] 致命的, 致死的"
principal,4,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
delicate,4,"a. 细致优雅的, 微妙的, 美味的
[医] 柔弱的"
generate,4,"vt. 产生, 发生, 导致
[电] 产生"
tidy,4,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
genuine,4,"a. 真正的, 真实的, 诚恳的
[医] 真性的"
conference,4,"n. 会议
[经] 会议, 讨论会, 协商会"
designer,4,"n. 设计者, 谋划者, 制图者
[计] 设计员"
spoke,4,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
poisonous,4,"a. 有毒的, 恶毒的, 讨厌的
[医] 有毒的"
precise,4,"a. 精确的, 严谨的, 明确的
[机] 精密的, 正确的"
collected,4,"a. 收集成的, 镇定的"
comprehensive,4,"a. 广泛的, 有理解力的, 综合的
[经] 广泛的, 综合的, 全面的"
plain,4,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
[计] 无格式"
beam,4,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
[计] 束"
absolute,4,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
obscure,4,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
maximize,4,"vt. 取...最大值, 使增加(或扩大)到最大限度
[计] 最大化"
apparatus,4,"n. 装置, 器具, 器官
[化] 仪器; 器械"
personnel,4,"n. 人员, 人事部门, 人事科(处)
[经] 人事, 全体人员, 职工"
analyze,4,"vt. 分析, 细察, 分解
[机] 分析"
permanent,4,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
[计] 永久的"
classify,4,"vt. 分类, 归类, 分等
[建] 分类, 分级, 分粒"
accurate,4,"a. 正确的, 精确的
[经] 准确的, 精确的"
subsequent,4,"a. 后来的, 接下去的
[经] 后来的"
blue,4,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
dispute,4,"n. 争论
v. 争论"
offspring,4,"n. 子孙, 后代, 产物
[法] 后辈, 子孙, 后裔"
exhaust,4,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
inherent,4,"a. 固有的, 与生俱来的
[医] 固有的, 生来的"
sensitivity,4,"n. 敏感, 灵敏度
[计] 灵敏度"
digit,3,"n. 数字, 位数, 指头
[计] 数位; 位"
scared,3,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
establishment,3,"n. 确立, 制定, 设施
[经] 企业, 公司, 商店"
expenditure,3,"n. 开支, 费用, 用光, 消费额
[经] 支出, 费用, 消费"
objection,3,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
[法] 异议, 反对, 抗议"
presentation,3,"n. 赠与, 描述, 介绍
[计] 简报"
forecast,3,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
[计] 趋势预测"
pose,3,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
mechanics,3,"n. 机械学, 结构, 力学
[化] 力学"
cunning,3,"a. 狡猾的, 巧妙的, 可爱的
[法] 狡猾的的, 狡诈的, 熟练的"
shoulder,3,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
modest,3,"a. 谦逊的, 羞怯的, 端庄的, 适度的
[经] 适当的"
chancellor,3,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
penalty,3,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
[经] 罚金(款), 违约金"
manifest,3,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
release,3,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
[计] 版本, 发布"
deduce,3,"vt. 推论, 演绎出
[法] 推断, 推出, 演绎"
inferior,3,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
gum,3,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
amateur,3,"n. 业余爱好者, 外行, 爱好者
[电] 业余家"
entrance,3,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
[计] 入口"
diligence,3,n. 勤奋
contradictory,3,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
superficial,3,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
adopt,3,"vt. 采用, 正式通过, 收养, 接受
[医] 采取"
passionate,3,"a. 热情的, 热烈的, 易怒的, 热恋的"
witness,3,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
swine,3,"n. 猪, 卑鄙的家伙"
awkward,3,"a. 笨拙的, 棘手的"
plausible,3,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
[法] 花言巧语的, 似乎有理的"
partial,3,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
panic,3,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
counterbalance,3,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
civil,3,"a. 市民的, 公民的, 有礼貌的
[法] 公民的, 国民的, 民用的"
admire,3,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
encounter,3,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
grateful,3,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
forge,3,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
legacy,3,"n. 祖先传下来之物, 遗赠物
[经] 遗产, 遗赠物"
coincidence,3,"n. 巧合, 同时发生
[电] 符合计数器"
crest,3,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
adapt,3,"vt. 使适应, 改编
vi. 适应"
humble,3,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
fierce,3,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
resume,3,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
[计] 继续执行"
trustworthy,3,"a. 可信赖的
[法] 可信任的, 可靠的, 可信赖的"
bulk,3,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
grain,3,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
relaxation,3,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
[化] 松弛; 驰豫"
transaction,3,"n. 交易, 办理, 学报, 和解协议
[计] 事务处理"
momentum,3,"n. 动力, 动量
[化] 动量"
rival,3,"n. 对手, 竞争者
a. 竞争的"
supervise,3,"v. 监督, 管理, 指导"
quest,3,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
vain,3,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
prolong,3,"vt. 延长, 拖延, 拖长
[化] 冷凝管"
microscope,3,"n. 显微镜
[化] 显微镜"
vaccine,3,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
guarantee,3,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
subscribe,3,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
[计] 订阅"
endure,3,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作"
plane,3,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
ancestry,3,"n. 祖先, 世系, 名门出身"
chronic,3,"a. 慢性的, 习惯性的
n. 慢性病患者"
dose,3,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
glance,3,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
deliberate,3,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
illusory,3,"a. 产生幻觉的, 幻影的, 错觉的
[法] 因错觉产生的, 虚幻的"
stream,3,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
[计] 流"
peer,3,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
poll,3,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
[计] 轮询"
fabric,3,"n. 织物, 布, 结构, 构造, 建筑物
[经] 组织, 建筑物, 工厂"
retiring,3,"a. 行将隐退的, 行将退休的, 就寝的"
confirm,3,"vt. 证实, 确定, 批准, 使巩固
[计] 确认"
lasting,3,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
pan,3,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
acute,3,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
[医] 急性的; 尖锐的"
detached,3,"a. 超然的, 分离的, 冷淡的
[法] 分遣的, 派遣的, 分离的"
standstill,3,"n. 停止, 停顿
[医] 停顿"
sentiment,3,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
[医] 情感, 情操"
frequent,3,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
ritual,3,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
convey,3,"vt. 传达, 运输, 转让
[经] 转让(财产等), 搬运"
extinction,3,"n. 消失, 消灭, 废止
[化] 消光; 熄灭"
subsidy,3,"n. 补助金, 津贴
[经] 补助金, 津贴, 补贴"
intimate,3,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
wage,3,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
slot,3,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
[计] 槽; 存储槽"
governance,3,"n. 统治, 统辖, 管理
[法] 统治, 管理, 支配"
passive,3,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
[医] 被动的"
liberated,3,"a. 解放的, 自由的"
pharmaceutical,3,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
defense,3,"n. 防卫, 防卫物
[医] 防御"
slice,3,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
[计] 片"
prudent,3,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
paralysis,3,"n. 麻痹, 停顿, 瘫痪
[医] 麻痹, 瘫痪"
formula,3,"n. 客套语, 公式, 准则
[计] 公式"
applicable,3,"a. 合适的, 可应用的
[法] 适用的, 适应的"
upright,3,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
[化] 立杆"
emergency,3,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况"
deficiency,3,"n. 缺乏, 不足
[医] 缺乏, 不足"
maintenance,3,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
[计] 维护; 维修"
impressed,3,a. 外加的；印象深刻的；了不起的；受感动的
helmet,3,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
scheme,3,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
[计] Scheme 程序设计语言"
disaster,3,"n. 灾祸, 不幸, 彻底失败"
cooperate,3,"vi. 合作, 协力, 配合
[化] 合作"
assumption,3,"n. 假定, 自负, 担任, 假装
[经] 假定, 承担"
impulse,3,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
critic,3,"n. 批评家, 鉴定家"
associate,3,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
[计] 关联"
resort,3,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
impulsive,3,"a. 冲动的, 受感情驱使的, 任性的
[医] 冲动的"
accessible,3,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
anonymity,3,"n. 匿名, 姓氏不明
[计] 匿名信件"
fertile,3,"a. 可繁殖的, 肥沃的, 生产多的
[医] 能生育的"
guy,3,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
green,3,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
retreat,3,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
relieved,3,"a. 宽慰的, 解除的, 减轻的"
suppress,3,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
[法] 镇压, 平定, 禁止出版"
embrace,3,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
revealing,3,"a. 暴露的, 显露的, 揭露的"
exclusive,3,"a. 排外的, 独占的, 唯一的
[计] 独占的"
conceive,3,"vt. 构思, 认为
vi. 怀孕"
neutral,3,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
abundant,3,"a. 丰富的, 充分的, 大量的"
replacement,3,"n. 归还, 更换, 代替者
[医] 复位, 置换"
assured,3,"a. 确定的, 自信的
[经] 被保险人, 被保证者, 投保人"
distinguished,3,"a. 卓著的, 著名的"
spacious,3,"a. 广大的, 宽广的"
underlying,3,"a. 在下面的
[经] 优先的, 基础的, 放在下面的"
lump,3,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
abundance,3,"n. 丰富, 充足, 大量
[经] 丰富, 充裕"
ambiguous,3,"a. 不明确的, 模棱两可的
[法] 意思含糊的, 模棱两可的, 暧昧的"
irony,3,"n. 反语, 讽刺, 具有讽刺意味的事"
speculate,3,"vi. 深思, 推测, 投机
[经] 投机"
substitute,3,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
[计] 置换; 替代"
august,3,"n. 八月
a. 威严的, 令人敬畏的"
component,3,"n. 元件, 组件, 成分
a. 组成的, 构成的
[计] 组件"
inborn,3,a. 天生的；先天的
implication,3,"n. 牵连, 含义, 暗示
[法] 推断, 含蓄之意, 暗示"
qualified,3,"a. 有资格的
[经] 合格的, 有条件的, 有限制的"
emission,3,"n. 发射, 射出, 发行
[医] 发射, 遗精"
settle,3,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
colony,3,"n. 殖民地, 移民队
[医] 菌(集)落, 菌丛; 移民区"
indefinite,3,"a. 模糊的, 不确定的, 无限的
[法] 不确定的, 无限制的"
exploration,3,"n. 探险, 踏勘, 探测
[医] 探察"
adolescent,3,"a. 青春期的, 青少年的
n. 青少年"
modify,3,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
[计] 修改"
fault,3,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
[计] 故障"
haven,3,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
exert,3,"vt. 发挥, 运用, 施以影响
[法] 施加, 产生, 行使"
reserve,3,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
relate,3,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
constitute,3,"vt. 构成, 组成, 任命
[建] 构造, 组成"
retain,3,"vt. 保持, 保有, 留住, 记得, 付定金聘请
[经] 保留, 留存"
hemisphere,3,"n. 半球, 地球的半面, 大脑半球
[医] 半球"
fragile,3,"a. 易碎的, 脆的
[医] 脆弱的, 脆的"
vehicle,3,"n. 交通工具, 车辆, 传播媒介
[化] 载体; 运载体; 漆料"
obtainable,3,a. 能得到的
duration,3,"n. 持续时间, 持续
[计] 持续时间"
possessed,3,"a. 中邪魔的, 被妖魔缠住的"
bargain,3,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
withdraw,3,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
nurture,3,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
bid,3,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
construct,3,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
ignorant,3,"a. 无知识的, 不知道的, 由无知产生的
[法] 无知的, 愚昧的, 不知情的"
indignation,3,"n. 愤怒, 愤慨, 义愤"
emerge,3,"vi. 浮现, 形成, 出现, (事实)显露"
greenhouse,3,n. 温室
metropolitan,3,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
committed,3,"a. 献身于某种事业的
[计] 委托的"
conspicuous,3,"a. 显著的, 显眼的, 出众的"
hail,2,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
superiority,2,"n. 优越, 高傲
[化] 优越性"
bust,2,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
[计] 操作错"
silt,2,"n. 淤泥
vt. 使淤塞
vi. 淤塞"
manifesto,2,"n. 宣言, 声明"
myth,2,"n. 神话, 虚构的事, 虚构的人"
schism,2,"n. 分裂, 分立, 分裂教会罪
[法] 分裂, 分裂宗教罪, 宗派"
conclusive,2,"a. 决定性的, 确定性的, 最后的
[法] 决定性的, 不容置疑的, 确实的"
mold,2,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
